Critic,Movie,Movie_Fresh,Movie_Rotten
Adam Graham,15,5,10
Roger Moore,15,5,10
Mark Dujsik,15,3,12
Frank Swietek,14,5,9
Robert Kojder,13,6,7
Richard Roeper,13,9,4
Rendy Jones,13,6,7
Matt Brunson,12,6,6
Nate Adams,12,4,8
Jackie K. Cooper,12,9,3
Brian Orndorf,11,6,5
Rich Cline,11,9,2
Sara Michelle Fetters,11,6,5
Jim Judy,11,9,2
Katie Walsh,11,7,4
Nick Johnston,11,5,6
Dustin Chase,11,4,7
Chris Knight,11,8,3
Sean P. Means,11,7,4
Edward Douglas,10,7,3
Peter Sobczynski,10,2,8
James Berardinelli,10,7,3
Laura Clifford,10,8,2
Josh Terry,10,7,3
Nestor Bentancor,10,6,4
Allen Adams,10,6,4
Mick LaSalle,10,5,5
Christy Lemire,10,3,7
Peter Howell,9,6,3
John Urbancich,9,6,3
A.O. Scott,9,7,2
Owen Gleiberman,9,6,3
Sarah Marrs,9,4,5
Brian Viner,9,4,5
Steven Prokopy,9,7,2
Rafer Guzman,9,6,3
Linda and Al Lerner,9,8,1
Doug Jamieson,9,6,3
Nell Minow,9,6,3
Peter Travers,9,6,3
Joey Magidson,9,5,4
Danielle Solzman,9,6,3
David Sims,8,4,4
Louisa Moore,8,5,3
Chris Bumbray,8,7,1
Chris Stuckmann,8,4,4
Jason Escamilla,8,4,4
Robert Denerstein,8,4,4
James Mottram,8,7,1
Matthew Bond,8,4,4
Travis Hopson,8,6,2
Robert Horton,8,4,4
Leah Greenblatt,8,5,3
Todd Jorgenson,8,2,6
Aaron Neuwirth,8,7,1
John Lui,8,3,5
Gary Wolcott,8,6,2
Rachel Wagner,8,4,4
Jamie East,8,7,1
Dan Murrell,8,5,3
Brian Lowry,8,5,3
Ben Rolph,8,8,0
Carla Renata,8,8,0
Robert Daniels,8,5,3
Kristy Puchko,7,3,4
Matt Goldberg,7,3,4
Korey Coleman,7,4,3
Leigh Paatsch,7,5,2
Diego Batlle,7,6,1
Kyle Smith,7,3,4
Devesh Sharma,7,5,2
Matt Oakes,7,5,2
Martin Thomas,7,3,4
Daniel M. Kimmel,7,6,1
Sean Chandler,7,6,1
Mark Kermode,7,3,4
Hope Madden,7,5,2
Justin Chang,7,5,2
Caillou Pettis,7,6,1
Grace Randolph,7,4,3
Tom Santilli,7,5,2
George Thomas,7,5,2
