Movie,Critic,Rating,Source,Review,Date
Midway,Sara Michelle Fetters,rotten,MovieFreak.com,"There wasn't any tension or suspense, and by the time things came to an end I was almost thankful the movie was over.","November 17, 2019"
Midway,Matt Brunson,rotten,Film Frenzy,"Director Roland Emmerich's 1996 smash Independence Day won an Oscar for its special effects, but, since then, the visuals in his films seem to be getting worse, not better.","November 16, 2019"
Midway,Jackie K. Cooper,fresh,jackiekcooper.com,"Good historical recounting, and solid special effects highlight this movie. Where it fails is in giving audiences a personal story to latch onto.","November 15, 2019"
Midway,Abigail Camarillo,rotten,Chilango.com,The director of The Day After Tomorrow does not have much to offer. [Full review in Spanish],"November 15, 2019"
Midway,Mark Kermode,rotten,Kermode & Mayo's Film Review,"He's Mr. Bombastic, but he's not very fantastic...","November 15, 2019"
Midway,Allen Adams,fresh,The Maine Edge,"It's not that [Midway is bad, per se - it's just a bit heavy-handed, both in terms of the CGI battle scenes and the interpersonal relationships.","November 14, 2019"
Midway,Sean Chandler,fresh,Sean Chandler Talks About,"Midway doesn't do anything new with the genre, but it does provide what the target audience wants and I enjoyed what it had to offer.","November 14, 2019"
Midway,Asher Luberto,rotten,Willamette Week,"Wes Tooke's screenplay is dead in the water. When things aren't exploding, the characters need personality...","November 14, 2019"
Midway,Tim Appelo,fresh,AARP Movies for Grownups,"Still, history buffs will find much to like in this shamelessly corny, retro, relatively accurate, slam-bang war epic.","November 13, 2019"
Midway,Nestor Bentancor,rotten,Nestor Cine Desde Hollywood,"The spectacle flies high, but the script sinks fast. Still, it's better than Pearl Harbor. [Full review in Spanish]","November 13, 2019"
Midway,Alberto Corona,fresh,Sensacine,A blockbuster proud to be just that. [Full review in Spanish],"November 12, 2019"
Midway,Kyle Smith,rotten,National Review,"It's hard to find much merit in Emmerich's style -- frantic, breezy, shallow. Emmerich fills the frame with planes and flak and fireballs, yet the CGI just looks like... CGI.","November 12, 2019"
Midway,Grady Bolding,rotten,Cultured Vultures,I'm not entirely sure what Emmerich was trying to accomplish with Midway.,"November 12, 2019"
Midway,Frank Swietek,rotten,One Guy's Opinion,"A throwback to the wartime spectacles of the seventies, done up with all the visual pizzazz CGI can provide but keeping the human element at a regrettably rudimentary level.","November 12, 2019"
Midway,Jon Winkler,rotten,The Young Folks,"Midway is more respectful to those involved in the incidents after Pearl Harbor than Michael Bay was when he tackled the actual Pearl Harbor 18 years ago. In the end though, Midway is more of a rough draft than a completed epic.","November 11, 2019"
Midway,Terry Staunton,rotten,Radio Times,"Roland Emmerich favours spectacle over subtlety, and while he has described the film as a passion project rooted in historical accuracy, the absence of fully-rounded characters for audiences to care about gives the impression of a cold... computer game.","November 11, 2019"
Midway,Mathew DeKinder,fresh,Suburban Journals of St. Louis,"If all you take away from ""Midway"" is how terrible and awesome this battle truly was, then I would consider it a success, albeit a heavily qualified one.","November 11, 2019"
Midway,Rich Cline,fresh,Shadows on the Wall,"As a bluntly told tale of a battle that turned the tide, this still gets the adrenaline pumping.","November 11, 2019"
Midway,Matthew Bond,fresh,The Mail on Sunday (UK),"State-of-the-art visual effects have some dodgy moments, particularly early on, and the story-telling gets a bit confused. But the last hour is spectacular and gripping, albeit slightly lacking in emotional punch.","November 11, 2019"
Midway,Nick Johnston,fresh,Vanyaland,"Though handicapped by its budget and occasionally rough effects work, Midway often offers satisfactory thrills.","November 11, 2019"
Midway,Josh Terry,rotten,Deseret News (Salt Lake City),"There are good actors in the cast, but no one seizes the moment, and it doesn't help that a lot of dialogue stooped with cartoon patriotism and stiff acting leave the proceedings feeling awfully two-dimensional.","November 11, 2019"
Midway,Edward Porter,fresh,Sunday Times (UK),"It could have a been a lot more original and interesting, but if fighter planes and aircraft carriers are your thing, here you go. It's basically a 1940s movie with 2019 special effects.","November 11, 2019"
Midway,Alci Rengifo,rotten,Entertainment Voice,"""Midway"" forgets that conflicts involve nations and peoples, not just the big, loud machines.","November 11, 2019"
Midway,Kevin Maher,rotten,Times (UK),"It has the tone, mostly, of kids' TV. Or a poor, very poor, supplementary video for a history GCSE.","November 11, 2019"
